subscription_id,user_id,plan_type,subscription_start_date,subscription_end_date,monthly_revenue,subscription_status,billing_cycle
S00001,U02654,Pro,2025-04-16,,499,Active,Monthly
S00002,U00706,Pro,2025-07-11,2026-03-12 00:00:00,499,Cancelled,Monthly
S00003,U02465,Team,2025-04-08,,1999,Active,Monthly
S00004,U00916,Pro,2024-01-26,,499,Active,Annual
S00005,U00643,Pro,2024-12-07,2025-10-09 00:00:00,499,Cancelled,Monthly
S00006,U04768,Team,2025-03-22,2025-06-08 00:00:00,1999,Cancelled,Monthly
S00007,U04685,Pro,2024-06-12,2025-01-15 00:00:00,499,Cancelled,Monthly
S00008,U01963,Pro,2025-03-05,,499,Active,Monthly
S00009,U04867,Pro,2024-12-06,,499,Active,Monthly
S00010,U03774,Team,2024-12-16,,1999,Active,Monthly
S00011,U04616,Enterprise,2024-10-05,,9999,Active,Annual
S00012,U02378,Pro,2025-07-11,2025-11-09 00:00:00,499,Cancelled,Monthly
S00013,U03863,Pro,2025-11-04,,499,Active,Monthly
S00014,U02634,Enterprise,2024-03-05,,9999,Active,Monthly
S00015,U03341,Pro,2024-09-03,,499,Active,Monthly
S00016,U04725,Pro,2025-01-23,,499,Active,Monthly
S00017,U00297,Enterprise,2025-05-03,,9999,Active,Monthly
S00018,U03025,Enterprise,2025-04-12,,9999,Active,Monthly
S00019,U00656,Pro,2024-11-06,,499,Active,Monthly
S00020,U03850,Pro,2024-12-06,,499,Active,Monthly
S00021,U02095,Pro,2024-10-29,,499,Active,Monthly
S00022,U00241,Team,2024-12-19,2025-12-10 00:00:00,1999,Cancelled,Monthly
S00023,U00200,Pro,2025-03-21,,499,Active,Monthly
S00024,U02281,Pro,2024-10-01,,499,Active,Monthly
S00025,U02221,Team,2025-03-17,,1999,Active,Monthly
S00026,U03151,Enterprise,2025-09-17,,9999,Active,Monthly
S00027,U01376,Pro,2024-12-20,,499,Active,Monthly
S00028,U00180,Team,2025-07-04,,1999,Active,Monthly
S00029,U03900,Pro,2025-09-30,,499,Active,Annual
S00030,U03581,Team,2024-03-13,,1999,Active,Monthly
S00031,U02888,Pro,2024-08-11,2025-04-04 00:00:00,499,Cancelled,Monthly
S00032,U01420,Pro,2025-06-21,2025-09-21 00:00:00,499,Cancelled,Annual
S00033,U01861,Pro,2025-08-03,,499,Active,Monthly
S00034,U03009,Pro,2024-06-18,,499,Active,Monthly
S00035,U01942,Pro,2025-12-09,,499,Active,Monthly
S00036,U01097,Team,2025-02-20,,1999,Active,Monthly
S00037,U02195,Pro,2024-04-06,2025-02-13 00:00:00,499,Cancelled,Annual
S00038,U03790,Pro,2025-06-12,,499,Active,Monthly
S00039,U03136,Team,2025-11-05,,1999,Active,Monthly
S00040,U00231,Pro,2024-06-26,,499,Active,Monthly
S00041,U04864,Team,2024-09-23,,1999,Active,Monthly
S00042,U04078,Pro,2024-04-17,,499,Active,Monthly
S00043,U01418,Pro,2025-08-10,,499,Active,Annual
S00044,U04716,Pro,2024-08-19,,499,Active,Monthly
S00045,U01653,Pro,2024-04-09,,499,Active,Annual
S00046,U02276,Pro,2025-06-11,,499,Active,Monthly
S00047,U00878,Pro,2024-04-12,2024-09-01 00:00:00,499,Cancelled,Annual
S00048,U02218,Pro,2025-10-18,2026-06-28 00:00:00,499,Cancelled,Annual
S00049,U01834,Pro,2025-06-17,2026-01-04 00:00:00,499,Cancelled,Monthly
S00050,U02728,Pro,2025-02-18,,499,Active,Monthly
S00051,U03687,Pro,2025-06-12,,499,Active,Annual
S00052,U02330,Pro,2024-04-16,,499,Active,Monthly
S00053,U00472,Team,2025-11-06,,1999,Active,Monthly
S00054,U04256,Pro,2024-10-24,,499,Active,Annual
S00055,U00415,Pro,2025-02-04,,499,Active,Monthly
S00056,U01184,Team,2024-12-04,,1999,Active,Monthly
S00057,U03826,Enterprise,2024-05-08,,9999,Active,Monthly
S00058,U01294,Team,2025-01-18,,1999,Active,Monthly
S00059,U04759,Pro,2025-01-12,,499,Active,Monthly
S00060,U03007,Pro,2024-02-29,2024-07-19 00:00:00,499,Cancelled,Monthly
S00061,U04828,Pro,2024-12-29,,499,Active,Monthly
S00062,U00351,Team,2024-09-01,,1999,Active,Monthly
S00063,U03730,Pro,2025-10-18,,499,Active,Monthly
S00064,U02237,Team,2024-09-02,,1999,Active,Monthly
S00065,U00671,Team,2025-04-01,2025-08-12 00:00:00,1999,Cancelled,Monthly
S00066,U03524,Pro,2024-04-27,2024-09-02 00:00:00,499,Cancelled,Annual
S00067,U01542,Pro,2025-01-07,,499,Active,Monthly
S00068,U03236,Pro,2024-07-18,,499,Active,Monthly
S00069,U02510,Pro,2025-06-18,,499,Active,Monthly
S00070,U01324,Pro,2025-05-31,,499,Active,Monthly
S00071,U04648,Pro,2024-11-18,,499,Active,Monthly
S00072,U00316,Team,2024-08-02,,1999,Active,Monthly
S00073,U01243,Enterprise,2025-03-17,,9999,Active,Annual
S00074,U04626,Pro,2024-05-20,,499,Active,Monthly
S00075,U00070,Team,2025-09-25,,1999,Active,Monthly
S00076,U00788,Pro,2025-09-04,,499,Active,Monthly
S00077,U02883,Pro,2025-06-11,,499,Active,Monthly
S00078,U01176,Pro,2025-01-28,,499,Active,Monthly
S00079,U03198,Enterprise,2026-01-01,,9999,Active,Monthly
S00080,U02373,Pro,2025-12-30,,499,Active,Monthly
S00081,U04976,Pro,2025-04-30,2025-11-06 00:00:00,499,Cancelled,Monthly
S00082,U02255,Pro,2024-12-23,,499,Active,Annual
S00083,U03913,Team,2024-12-07,,1999,Active,Monthly
S00084,U00178,Team,2025-07-26,,1999,Active,Monthly
S00085,U02562,Pro,2025-04-24,,499,Active,Monthly
S00086,U04687,Team,2024-09-29,,1999,Active,Monthly
S00087,U01259,Pro,2025-10-03,,499,Active,Annual
S00088,U02560,Team,2024-02-09,,1999,Active,Monthly
S00089,U03575,Pro,2024-04-30,,499,Active,Monthly
S00090,U02965,Team,2024-12-31,,1999,Active,Annual
S00091,U02759,Pro,2024-04-08,,499,Active,Monthly
S00092,U04140,Pro,2025-03-14,2025-09-12 00:00:00,499,Cancelled,Monthly
S00093,U03958,Enterprise,2024-03-23,,9999,Active,Annual
S00094,U03971,Pro,2024-03-16,2025-01-10 00:00:00,499,Cancelled,Monthly
S00095,U03780,Pro,2025-07-19,,499,Active,Monthly
S00096,U01438,Pro,2024-10-15,,499,Active,Monthly
S00097,U00997,Pro,2025-08-13,,499,Active,Monthly
S00098,U00062,Team,2025-08-25,,1999,Active,Annual
S00099,U04113,Pro,2024-10-20,,499,Active,Monthly
S00100,U03708,Pro,2024-11-12,,499,Active,Monthly
S00101,U02171,Pro,2025-07-30,,499,Active,Annual
S00102,U03538,Team,2025-07-17,,1999,Active,Monthly
S00103,U03618,Pro,2024-06-04,,499,Active,Monthly
S00104,U03750,Team,2025-04-17,,1999,Active,Monthly
S00105,U03608,Enterprise,2025-10-08,,9999,Active,Monthly
S00106,U03361,Team,2024-08-10,,1999,Active,Monthly
S00107,U02424,Pro,2024-06-13,,499,Active,Monthly
S00108,U03867,Pro,2024-07-01,2024-11-01 00:00:00,499,Cancelled,Annual
S00109,U01426,Team,2025-10-30,,1999,Active,Monthly
S00110,U04520,Pro,2025-09-29,,499,Active,Monthly
S00111,U00808,Pro,2024-09-11,,499,Active,Monthly
S00112,U04742,Team,2024-04-19,2024-12-27 00:00:00,1999,Cancelled,Monthly
S00113,U00882,Enterprise,2024-04-01,,9999,Active,Monthly
S00114,U01193,Team,2024-01-17,,1999,Active,Annual
S00115,U00625,Enterprise,2025-10-29,,9999,Active,Monthly
S00116,U00597,Team,2025-04-27,,1999,Active,Monthly
S00117,U01506,Pro,2025-01-17,,499,Active,Annual
S00118,U01413,Team,2024-02-19,,1999,Active,Monthly
S00119,U00372,Pro,2025-06-03,,499,Active,Monthly
