trial_id,user_id,trial_start_date,trial_end_date,trial_status,converted_to_paid,days_to_convert
T00001,U01502,2024-08-06,2024-08-20,Expired,No,
T00002,U02587,2024-05-29,2024-06-12,Expired,No,
T00003,U02654,2025-04-05,2025-04-19,Completed,Yes,11
T00004,U01056,2025-12-06,2025-12-20,Expired,No,
T00005,U00706,2025-07-09,2025-07-23,Completed,Yes,2
T00006,U00107,2025-06-07,2025-06-21,Expired,No,
T00007,U00590,2025-06-22,2025-07-06,Expired,No,
T00008,U02469,2025-05-04,2025-05-18,Expired,No,
T00009,U02414,2024-07-19,2024-08-02,Expired,No,
T00010,U01601,2025-06-22,2025-07-06,Expired,No,
T00011,U02465,2025-03-25,2025-04-08,Completed,Yes,14
T00012,U00229,2025-03-25,2025-04-08,Completed,No,
T00013,U00916,2024-01-23,2024-02-06,Completed,Yes,3
T00014,U00795,2024-10-14,2024-10-28,Expired,No,
T00015,U03022,2024-10-29,2024-11-12,Expired,No,
T00016,U03544,2024-07-01,2024-07-15,Expired,No,
T00017,U01074,2025-09-23,2025-10-07,Expired,No,
T00018,U03352,2024-12-23,2025-01-06,Expired,No,
T00019,U01745,2024-02-03,2024-02-17,Expired,No,
T00020,U01085,2025-09-28,2025-10-12,Expired,No,
T00021,U00927,2025-02-26,2025-03-12,Expired,No,
T00022,U03050,2024-10-26,2024-11-09,Completed,No,
T00023,U01118,2024-06-08,2024-06-22,Expired,No,
T00024,U00643,2024-11-30,2024-12-14,Completed,Yes,7
T00025,U04768,2025-03-14,2025-03-28,Completed,Yes,8
T00026,U00502,2025-03-14,2025-03-28,Expired,No,
T00027,U04067,2024-05-11,2024-05-25,Completed,No,
T00028,U00334,2025-11-16,2025-11-30,Expired,No,
T00029,U04685,2024-06-03,2024-06-17,Completed,Yes,9
T00030,U00487,2025-05-10,2025-05-24,Expired,No,
T00031,U01963,2025-02-22,2025-03-08,Completed,Yes,11
T00032,U00394,2025-11-06,2025-11-20,Expired,No,
T00033,U04843,2025-07-05,2025-07-19,Completed,No,
T00034,U04867,2024-11-29,2024-12-13,Completed,Yes,7
T00035,U01756,2024-08-01,2024-08-15,Expired,No,
T00036,U02516,2025-10-03,2025-10-17,Expired,No,
T00037,U03586,2025-09-11,2025-09-25,Expired,No,
T00038,U04316,2025-09-02,2025-09-16,Expired,No,
T00039,U04967,2024-04-29,2024-05-13,Expired,No,
T00040,U02100,2024-03-16,2024-03-30,Expired,No,
T00041,U03600,2025-09-03,2025-09-17,Expired,No,
T00042,U04122,2025-12-09,2025-12-23,Expired,No,
T00043,U00030,2024-05-13,2024-05-27,Expired,No,
T00044,U00066,2024-09-30,2024-10-14,Expired,No,
T00045,U00839,2025-01-09,2025-01-23,Expired,No,
T00046,U03907,2025-09-27,2025-10-11,Expired,No,
T00047,U03774,2024-12-14,2024-12-28,Completed,Yes,2
T00048,U04636,2025-09-20,2025-10-04,Expired,No,
T00049,U03162,2025-04-30,2025-05-14,Expired,No,
